sentence	raw_sentence
اکثریت کوچونکہ کوئی پناہ گاہ میسر نہیں اس لیے اس کاخوف دوچند ہے	اکثریت کوچونکہ کوئی پناہ گاہ میسر نہیں اس لیے، اس کاخوف دوچند ہے۔
جو فکر کی سرعت میں بجلی سے زیادہ تیز	جو فکر کی سرعت میں بجلی سے زیادہ تیز
مصر و حجاز سے گزرپارس و شام سے گزر	مصر و حجاز سے گزر،پارس و شام سے گزر
سے بعد میں کولاچی اور بگڑ کر انگریزوں کے دور میں کراچی ھو گئی	سے بعد میں کولاچی اور بگڑ کر انگریزوں کے دور میں کراچی ھو گئی
نوازشریف صاحب کے بر خلاف ان کا ہدف سیاست اور حکومت نہیں صرف حکومت ہے	نوازشریف صاحب کے بر خلاف، ان کا ہدف سیاست اور حکومت نہیں، صرف حکومت ہے۔
تری طرح کوئی تیغ نگہ کو آب تو دے	تری طرح کوئی تیغِ نگہ کو آب تو دے
مجھے آہ و فغان نیم شب کا پھر پیام آیا	مجھے آہ و فغان نیم شب کا پھر پیام آیا
پابند اڑان کر کے غفلت میں ہے زمانہ	پابند اڑان کر کے غفلت میں ہے زمانہ
اس کے لیے مروجہ دینی تعبیرات سے لے کرریاستی ڈھانچے تک ہر چیز نظرثانی کی محتاج ہے	اس کے لیے مروجہ دینی تعبیرات سے لے کرریاستی ڈھانچے تک، ہر چیز نظرثانی کی محتاج ہے۔
شوق عناں گیختہ دریا کہیں جسے	شوقِ عناں گیختہ دریا کہیں جسے
دوڑے ہے پہر ہر ایک گل و لالہ پر خیال	دوڑے ہے پهر ہر ایک گُل و لالہ پر خیال
حال آنکہ طاقت خلش خار بھی نہیں	حال آنکہ طاقتِ خلشِ خار بھی نہیں
کیجئے ہمارے ساتھ‘ عداوت ہی کیوں نہ ہو	کیجئے ہمارے ساتھ‘ عداوت ہی کیوں نہ ہو
اردو صحافت کا ایک دبستان ہے جو جناب الطاف حسن قریشی سے معنون ہے	اردو صحافت کا ایک دبستان ہے جو جناب الطاف حسن قریشی سے معنون ہے۔
تم ہو بت‘ پھر تمھیں پندار خدائی کیوں ہے	تم ہو بت‘ پھر تمھیں پندارِ خدائی کیوں ہے؟
انہیں یہ بات سمجھ نہیں آتی کہ ہر ایک کا اپنا کام ہے	انہیں یہ بات سمجھ نہیں آتی کہ ہر ایک کا اپنا کام ہے۔
اسی سے جمہوری تبدیلی کی راہ ہموار ہوئی موجودہ حکومت بھی ایک جمہوری عمل کا نتیجہ ہے	اسی سے جمہوری تبدیلی کی راہ ہموار ہوئی موجودہ حکومت بھی ایک جمہوری عمل کا نتیجہ ہے۔
شب کو ان کے جی میں کیا آئی کہ‘ عریاں ہو گئیں	شب کو ان کے جی میں کیا آئی کہ‘ عریاں ہو گئیں
چاند کی رویت ہو یا پیدائش یا مطلع یہ سب کائناتی علم سے متعین ہوں	چاند کی رویت ہو یا پیدائش یا مطلع، یہ سب کائناتی علم سے متعین ہوں۔
تیرے اشعار میں نوجواں کے لیے نصیحت ھے چھپی	تیرے اشعار میں نوجواں کے لیے نصیحت ھے چھپی
اس دن پوری اسلامی دنیا میں جشن کا سماں ہوگا	اس دن پوری اسلامی دنیا میں جشن کا سماں ہوگا
دل کے درد کے کم ہونے کا تنہا کچھ سامان ہوا	دل کے درد کے کم ہونے کا تنہا کچھ سامان ہوا
تیرے جواہر طرف کلہ کو کیا دیکھیں	تیرے جواہرِ طُرفِ کلہ کو کیا دیکھیں!
در کبھی خواب کا کھلتا ہے عذابوں کی طرف	در کبھی خواب کا کھلتا ہے عذابوں کی طرف
پھر اس کے بچے ہوتے اور ملک کے کوچہ و بازار میں پھیل جاتے ہیں	پھر اس کے بچے ہوتے اور ملک کے کوچہ و بازار میں پھیل جاتے ہیں۔
دیکھ کر تجھ کو چمن بسکہ نمو کرتا ہے	دیکھ کر تجھ کو ، چمن بسکہ نُمو کرتا ہے
مسلمانوں کو اپنا الگ آزاد ملک پاکستان حاصل ہوا	مسلمانوں کو اپنا الگ آزاد ملک پاکستان حاصل ہوا
اب عادت باقی ہے لیکن پندرہ منٹ میں پانچ اخباروں کو کھنگال کے پرے پھینک دیتے ہیں	اب عادت باقی ہے لیکن پندرہ منٹ میں پانچ اخباروں کو کھنگال کے پرے پھینک دیتے ہیں۔
کئے ہیں فاش رموز قلندری میں نے	کئے ہیں فاش رموز قلندری میں نے
رمزیں ہیں محبت کی گستاخی و بیباکی	رمزیں ہیں محبت کی گستاخی و بیباکی
میں برسوں سے انہیں جانتا ہوں اور ان سے استفادہ کرنے والوں میں شامل ہوں	میں برسوں سے انہیں جانتا ہوں اور ان سے استفادہ کرنے والوں میں شامل ہوں۔
ان کا خیال ہے کہ تبدیلی ہمیشہ ایک اقلیتی گروہ ہی لاتا ہے	ان کا خیال ہے کہ تبدیلی ہمیشہ ایک اقلیتی گروہ ہی لاتا ہے۔
مر گیا صدمۂ یک جنبش لب سے غالب	مر گیا صدمۂ یک جنبش لب سے غالبؔ
ہزار موجوں کی ہو کشاکش مگر یہ دریا سے پار ہوگا	ہزار موجوں کی ہو کشاکش مگر یہ دریا سے پار ہوگا
تو اپنی خودی کو کھو چکا ہے	تو اپنی خودی کو کھو چکا ہے
ایک بیداد گر رنج فزا اور سہی	ایک بیداد گرِ رنج فزا اور سہی
ویڈیو وائرل ہونے کے بعد	ویڈیو وائرل ہونے کے بعد
نہ ہو جب دل ہی سینہ میں‘ تو پھر منہ میں زباں کیوں ہو	نہ ہو جب دل ہی سینہ میں‘ تو پھر منہ میں زباں کیوں ہو؟
بتوں سے تجھ کو امیدیں خدا سے نومیدی	بتوں سے تجھ کو امیدیں ، خدا سے نومیدی
کہ شاہیں کیلئے ذلت ہے کار آشیاں بندی	کہ شاہیں کیلئے ذلت ہے کار آشیاں بندی
یا تو خود آشکار ہو یا مجھے آشکار کر	یا تو خود آشکار ہو یا مجھے آشکار کر
اس طرح کی فہارس میں فلسفی سائنس دان موجد سب شامل ہوتے ہیں	اس طرح کی فہارس میں فلسفی، سائنس دان، موجد، سب شامل ہوتے ہیں۔
یاد مژگاں بہ نشتر زار صحراۓ خیال	یادِ مژگاں بہ نشتر زارِ صحراۓ خیال
وہ اک گلدستہ ہے ہم بے خودوں کے طاق نسیاں کا	وہ اک گلدستہ ہے ہم بے خودوں کے طاق نسیاں کا
ان کے ذہن میں بناعمران کا مجسمہ شکست و ریخت سے دوچار ہے	ان کے ذہن میں بناعمران کا مجسمہ شکست و ریخت سے دوچار ہے۔
سکیورٹی کے حالات کافی نامساعد تھے	سکیورٹی کے حالات کافی نامساعد تھے
راز مکتوب بہ بے ربطیٴ عنواں سمجھا	رازِ مکتوب بہ بے ربطیٴ عنواں سمجھا
اور کب پیپر ہو رہے	اور کب پیپر ہو رہے
شان مسعودکاؤنٹی کرکٹ میں ڈبل سنچری اسکور کرنیوالے پہلے پاکستانی اوپنر بن گئے	شان مسعودکاؤنٹی کرکٹ میں ڈبل سنچری اسکور کرنیوالے پہلے پاکستانی اوپنر بن گئے
لیکن ایف اے اے نے تفصیلی انکوائری	لیکن ایف اے اے نے تفصیلی انکوائری
کاش رضواں ہی در یار کا درباں ہوتا	کاش رِضواں ہی درِ یار کا درباں ہوتا
علم و حکمت فلسفہ و عشق و ادب	عِلم و حِکمت ،فلسفہ و عشق و ادب
پاکستان اور ہندوستان کی سیاسی دادا گری نے ایک دوسرے سے جدا کیا ہوا ہے	پاکستان اور ہندوستان کی سیاسی دادا گری نے ایک دوسرے سے جدا کیا ہوا ہے
خوں کیا ہوا دیکھا گم کیا ہوا پایا	خوں کیا ہوا دیکھا گم کیا ہوا پایا
وہ نا راض ہے	وہ نا راض ہے
پیپلز پارٹی ان کے ساتھ مقابلے کا میچ کھیلنے کی صلاحیت سے محروم ہو چکی	پیپلز پارٹی ان کے ساتھ مقابلے کا میچ کھیلنے کی صلاحیت سے محروم ہو چکی۔
وھاں کے بتکدے اور خانقاہ جات	وھاں کے بتکدے اور خانقاہ جات
شعر کی فکر کو اسد چاہیے ہے دل و دماغ	شعر کی فکر کو اسدؔ! چاہیے ہے دل و دماغ
اکثریت کے انداز فکر کو دیکھتے ہوئے میرا جواب تو اثبات میں ہے	اکثریت کے انداز فکر کو دیکھتے ہوئے، میرا جواب تو اثبات میں ہے۔
بیاں کیا کیجیے بیداد کاوش ہائے مژگاں کا	بیاں کیا کیجیے بیداد کاوش ہائے مژگاں کا
امریکہ کے ساتھ تصادم کی وجہ یہ ہے کہ وہ ایک سامراج ہے	امریکہ کے ساتھ تصادم کی وجہ یہ ہے کہ وہ ایک سامراج ہے۔
زمانہ عقل کو سمجھا ہوا ہے مشعل راہ	زمانہ عقل کو سمجھا ہوا ہے مشعل راہ
پر ہرکوئی مانے گا کہ ان جیسا مقرر مملکت خداداد میں اس وقت موجود نہیں	پر ہرکوئی مانے گا کہ ان جیسا مقرر مملکت خداداد میں اس وقت موجود نہیں۔
منعقد کی جاتی تھیں تاہم یہ سیشنز سی آئی اے کی دنیا بھر می	منعقد کی جاتی تھیں تاہم یہ سیشنز سی آئی اے کی دنیا بھر می
انگریزی لفظ گرینڈ فادر کے فہم میں دادا نانا دونوں آ جاتے ہیں	انگریزی لفظ گرینڈ فادر کے فہم میں دادا، نانا دونوں آ جاتے ہیں۔
جو کہ ملکی اور غیر ملکی شہرت رکھتے ہیں	جو کہ ملکی اور غیر ملکی شہرت رکھتے ہیں
اسکے شمال اور مغرب میں ضلع شیخوپورہ مشرق میں واہگہ	اسکے شمال اور مغرب میں ضلع شیخوپورہ، مشرق میں واہگہ
کہ بر فتراک صاحب دولتے بستم سر خود را	کہ بر فتراک صاحب دولتے بستم سر خود را
اس وقت اس بے جان جسم کو قوت گویائی عطا ہو گی اور وہ سوال کرے گا	اس وقت اس بے جان جسم کو قوت گویائی عطا ہو گی اور وہ سوال کرے گا؟
یے گوشت ہے	یے گوشت ہے
بلائے جاں ہے ادا تیری اک جہاں کے لیے	بلائے جاں ہے ادا تیری اک جہاں کے لیے
شہید تشنہ لب کربلا کہیں اس کو	شہیدِ تشنہ لبِ کربلا کہیں اُس کو
ان کے ذہن ایک ہی چیز پر اٹک جاتے ہیں اور اسی بات کی امید رکھنا اسٹارٹ ہو جاتی ہیں	ان کے ذہن ایک ہی چیز پر اٹک جاتے ہیں اور اسی بات کی امید رکھنا اسٹارٹ ہو جاتی ہیں
قیامت کے فتنے کو کم دیکھتے ہیں	قیامت کے فتنے کو، کم دیکھتے ہیں
اس کی امت میں ہوں میں میرے رہیں کیوں کام بند	اس کی امت میں ہوں میں میرے رہیں کیوں کام بند
گر خامشی سے فائدہ اخفائے حال ھے	گر خامشی سے فائدہ اخفائے حال ھے
سپریم کورٹ کے سامنے کیسز چل رہے تھے اور فیصلے تمام ضروری عمل پورا ہونے کے بعد آنے تھے	سپریم کورٹ کے سامنے کیسز چل رہے تھے اور فیصلے تمام ضروری عمل پورا ہونے کے بعد آنے تھے۔
جو ترے دل کو لبھائے وہ ادا مجھ میں نہیں	جو ترے دل کو لبھائے وہ ادا مجھ میں نہیں
اس وقت جنوبی ایشیا میں ریاست کا وجود خطرات میں گھر چکا ہے	اس وقت جنوبی ایشیا میں ریاست کا وجود خطرات میں گھر چکا ہے۔
نصیب مدرسہ یا رب یہ آب آتش ناک	نصیب مدرسہ یا رب یہ آب آتش ناک
گلگت بلتستان کے عوام کے بنیادی اور سیاسی حقوق کے مطالبات جائز قرار	گلگت بلتستان کے عوام کے بنیادی اور سیاسی حقوق کے مطالبات جائز قرار
اب دل کی	اب دل کی
عجب کیا گر مہ و پرویں مرے نخچیر ہو جائیں	عجب کیا گر مہ و پرویں مرے نخچیر ہو جائیں
میرے نزدیک ہر وہ اقدام جو جمہوری عمل کو متاثر کرتا ہو ناقابل قبول ہے	میرے نزدیک ہر وہ اقدام جو جمہوری عمل کو متاثر کرتا ہو، ناقابل قبول ہے۔
